"","scaffold","start_position","end_position","length","exon_length","biotype","go_terms"
"ENSG00000001626","7",117465784,117715971,250188,236645,"protein_coding","plasma membrane|membrane|integral component of membrane|protein binding|cytoplasm|cytosol|nucleotide binding|ATP binding|ATPase activity|ATPase activity, coupled to transmembrane movement of substances|ATPase-coupled anion transmembrane transporter activity|transport|transmembrane transport|ATP hydrolysis coupled anion transmembrane transport|enzyme binding|hydrolase activity|extracellular exosome|cell surface|endoplasmic reticulum membrane|integral component of plasma membrane|apical plasma membrane|ion transport|endosome|endosome membrane|protein deubiquitination|protein complex|early endosome|early endosome membrane|recycling endosome|positive regulation of insulin secretion involved in cellular response to glucose stimulus|bicarbonate transport|PDZ domain binding|basolateral plasma membrane|positive regulation of exocytosis|chloride transport|sperm capacitation|chloride channel activity|chloride transmembrane transport|chloride channel complex|lysosomal membrane|clathrin-coated vesicle membrane|membrane organization|cellular response to cAMP|Golgi-associated vesicle membrane|cholesterol biosynthetic process|bicarbonate transmembrane transporter activity|chloride transmembrane transporter activity|respiratory gaseous exchange|cholesterol transport|positive regulation of cyclic nucleotide-gated ion channel activity|membrane hyperpolarization|intracellular pH elevation|vesicle docking involved in exocytosis|intracellular ATPase-gated chloride channel activity|endoplasmic reticulum Sec complex|chloride channel regulator activity|chloride channel inhibitor activity|positive regulation of voltage-gated chloride channel activity"
"ENSG00000001629","7",92246234,92401384,155151,155151,"protein_coding","protein binding|cytoplasm|metal ion binding|transferase activity|ubiquitin-protein transferase activity|zinc ion binding|ubiquitin protein ligase activity|protein polyubiquitination|protein ubiquitination|positive regulation of proteasomal ubiquitin-dependent protein catabolic process|ubiquitin ligase complex|protein ubiquitination involved in ubiquitin-dependent protein catabolic process|ubiquitin conjugating enzyme binding"
"ENSG00000001630","7",92112151,92142952,30802,30802,"protein_coding","plasma membrane|membrane|integral component of membrane|metal ion binding|intracellular membrane-bounded organelle|endoplasmic reticulum|endoplasmic reticulum membrane|oxidation-reduction process|oxidoreductase activity|lipid metabolic process|steroid metabolic process|cholesterol metabolic process|heme binding|monooxygenase activity|iron ion binding|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen|organelle membrane|steroid biosynthetic process|cholesterol biosynthetic process|sterol biosynthetic process|sterol metabolic process|demethylation|cholesterol biosynthetic process via 24,25-dihydrolanosterol|sterol 14-demethylase activity"
"ENSG00000001631","7",92198969,92246166,47198,47198,"protein_coding","plasma membrane|membrane|cell junction|protein binding|cytoplasm|cytoskeleton|microtubule|cell-cell junction|protein complex|extracellular space|regulation of catalytic activity|negative regulation of angiogenesis|small GTPase mediated signal transduction|angiogenesis|phosphatidylinositol-4,5-bisphosphate binding|protein complex binding|regulation of establishment of cell polarity|positive regulation of protein binding|microtubule binding|cell redox homeostasis|GTPase regulator activity|negative regulation of endothelial cell migration|negative regulation of endothelial cell apoptotic process|negative regulation of endothelial cell proliferation"
"ENSG00000002016","12",912077,990053,77977,77977,"protein_coding","protein binding|nucleus|nucleoplasm|DNA repair|cellular response to DNA damage stimulus|identical protein binding|cellular response to oxidative stress|DNA binding|double-strand break repair via homologous recombination|double-strand break repair|DNA recombination|protein complex|DNA recombinase assembly|DNA double-strand break processing involved in repair via single-strand annealing|double-strand break repair via single-strand annealing|regulation of nucleotide-excision repair"
"ENSG00000002079","7",99238794,99311130,72337,NA,"unitary_pseudogene",NA
"ENSG00000002330","11",64269830,64284704,14875,14840,"protein_coding","membrane|protein binding|cytoplasm|cytosol|response to drug|phospholipid binding|mitochondrion|apoptotic process|positive regulation of cysteine-type endopeptidase activity involved in apoptotic process|mitochondrial outer membrane|response to ethanol|cellular response to hypoxia|cerebral cortex development|cell proliferation|spermatogenesis|lipid binding|intrinsic apoptotic signaling pathway in response to DNA damage|regulation of apoptotic process|positive regulation of apoptotic process|positive regulation of insulin secretion involved in cellular response to glucose stimulus|glucose homeostasis|positive regulation of type B pancreatic cell development|positive regulation of neuron death|extrinsic apoptotic signaling pathway in absence of ligand|apoptotic signaling pathway|cellular response to lipid|cellular response to chromate|cellular process regulating host cell cycle in response to virus|positive regulation of apoptotic process by virus|response to calcium ion|response to glucocorticoid|ATP metabolic process|ADP metabolic process|positive regulation of T cell differentiation|positive regulation of B cell differentiation|type B pancreatic cell proliferation|regulation of cysteine-type endopeptidase activity involved in apoptotic process|response to amino acid|response to hydrogen peroxide|response to oleic acid|response to testosterone|positive regulation of glucokinase activity|response to progesterone|response to estradiol|positive regulation of insulin secretion|cytokine-mediated signaling pathway|suppression by virus of host apoptotic process|response to organic cyclic compound|positive regulation of mitochondrial membrane potential|response to organic substance|response to glucose|response to hormone|extrinsic apoptotic signaling pathway via death domain receptors|activation of cysteine-type endopeptidase activity involved in apoptotic process|glucose catabolic process|release of cytochrome c from mitochondria|response to hypoxia|14-3-3 protein binding|protein heterodimerization activity|protein kinase B binding|protein phosphatase 2B binding|protein phosphatase binding|cysteine-type endopeptidase activator activity involved in apoptotic process|protein kinase binding|protein insertion into mitochondrial membrane involved in apoptotic signaling pathway|positive regulation of autophagy|positive regulation of proteolysis|negative regulation of cytolysis|regulation of mitochondrial membrane permeability|pore complex assembly|positive regulation of epithelial cell proliferation|cellular response to mechanical stimulus|cellular response to nicotine|positive regulation of release of cytochrome c from mitochondria|extrinsic apoptotic signaling pathway|intrinsic apoptotic signaling pathway|activation of cysteine-type endopeptidase activity|positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway|positive regulation of intrinsic apoptotic signaling pathway"
"ENSG00000002549","4",17577192,17607972,30781,30777,"protein_coding","nucleus|cytoplasm|cytosol|metal ion binding|nucleoplasm|hydrolase activity|mitochondrion|extracellular exosome|focal adhesion|midbody|intracellular|peptidase activity|proteolysis|trans-Golgi network|manganese ion binding|aminopeptidase activity|metalloexopeptidase activity|protein metabolic process"
"ENSG00000002586","X",2691179,2741309,50131,50131,"protein_coding","cell adhesion|plasma membrane|membrane|integral component of membrane|cytoplasm|focal adhesion|integral component of plasma membrane"
"ENSG00000002587","4",11393150,11429765,36616,36616,"protein_coding","integral component of membrane|transferase activity|Golgi apparatus|glycosaminoglycan biosynthetic process|sulfotransferase activity|Golgi lumen|[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity"
"ENSG00000002726","7",150824627,150861504,36878,36878,"protein_coding","plasma membrane|calcium ion binding|metal ion binding|response to drug|extracellular exosome|receptor activity|zinc ion binding|protein homodimerization activity|neutrophil degranulation|xenobiotic metabolic process|oxidation-reduction process|primary amine oxidase activity|oxidoreductase activity|extracellular region|bicellular tight junction|extracellular space|peroxisome|response to antibiotic|drug binding|heparin binding|protein complex binding|specific granule lumen|cellular response to histamine|copper ion binding|amine metabolic process|quinone binding|diamine oxidase activity|histamine oxidase activity|methylputrescine oxidase activity|propane-1,3-diamine oxidase activity|cellular response to copper ion starvation|cellular response to copper ion|cellular response to heparin|cellular response to azide"
"ENSG00000002745","7",121325367,121341104,15738,15738,"protein_coding","cytoplasm|negative regulation of cell death|multicellular organism development|extracellular region|proteinaceous extracellular matrix|positive regulation of gene expression|extracellular space|Wnt signaling pathway|positive regulation of phosphatidylinositol 3-kinase signaling|receptor binding|frizzled binding|neuron differentiation|optic cup formation involved in camera-type eye development|keratinocyte differentiation|keratinocyte proliferation|cell fate commitment|positive regulation of JNK cascade|bone remodeling|cardiac epithelial to mesenchymal transition|replicative senescence|oxidative stress-induced premature senescence"
"ENSG00000002746","7",43112599,43566001,453403,453403,"protein_coding","cytoplasm|cytosol|transferase activity|ubiquitin-protein transferase activity|ubiquitin protein ligase activity|protein ubiquitination|negative regulation of canonical Wnt signaling pathway"
"ENSG00000002822","7",1815793,2233243,417451,417450,"protein_coding","kinetochore|nuclear pore|protein binding|cell cycle|sister chromatid cohesion|mitotic nuclear division|mitotic cell cycle checkpoint|mitotic spindle assembly checkpoint|cell division|attachment of mitotic spindle microtubules to kinetochore|regulation of metaphase plate congression|chromosome, centromeric region|condensed chromosome kinetochore|nucleus|chromosome|cytoplasm|centrosome|microtubule organizing center|spindle|cytosol|cytoskeleton|actin cytoskeleton|mitotic spindle|negative regulation of T cell proliferation|thymus development|regulation of mitotic cell cycle phase transition|spindle pole"
"ENSG00000002834","17",38869859,38921770,51912,51912,"protein_coding","protein binding|cytoplasm|cytoskeleton|metal ion binding|transport|extracellular exosome|focal adhesion|zinc ion binding|cortical actin cytoskeleton|ion transmembrane transport|ion transport|actin filament binding|ion transmembrane transporter activity|actin binding|SH3/SH2 adaptor activity|cadherin binding|positive regulation of signal transduction|cell cortex"
"ENSG00000002919","17",48103357,48123074,19718,19718,"protein_coding","membrane|protein binding|transport|intracellular protein transport|intracellular|phosphatidylinositol binding|lipid binding|phosphatidylinositol phosphate binding|endocytosis|protein transport|vesicle organization|endosome|extrinsic component of membrane"
"ENSG00000002933","7",150800403,150805120,4718,4718,"protein_coding","membrane|integral component of membrane|negative regulation of dendritic cell differentiation"
"ENSG00000003056","12",8940363,8949955,9593,9593,"protein_coding","plasma membrane|membrane|integral component of membrane|protein binding|transport|signal transduction|integral component of plasma membrane|perinuclear region of cytoplasm|endosome|transmembrane signaling receptor activity|receptor-mediated endocytosis|lysosomal membrane|lysosome|transport vesicle|clathrin-coated vesicle membrane|trans-Golgi network membrane|membrane organization|late endosome|mannose binding|lytic vacuole|mannose transport|mannose transmembrane transporter activity|retromer complex|retromer complex binding|endosome to lysosome transport|secretion of lysosomal enzymes"
"ENSG00000003096","X",117897813,118117340,219528,219528,"protein_coding","cell cycle|mitotic nuclear division|cell division|ubiquitin-protein transferase activity|protein ubiquitination|midbody|cytokinesis|Cul3-RING ubiquitin ligase complex"
"ENSG00000003137","2",72129238,72148038,18801,18801,"protein_coding","membrane|cytoplasm|metal ion binding|inflammatory response|intracellular membrane-bounded organelle|endoplasmic reticulum|endoplasmic reticulum membrane|xenobiotic metabolic process|oxidation-reduction process|oxidoreductase activity|spermatogenesis|positive regulation of gene expression|heme binding|monooxygenase activity|iron ion binding|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen|cornification|male meiosis|organelle membrane|cellular response to retinoic acid|establishment of skin barrier|embryonic limb morphogenesis|proximal/distal pattern formation|bone morphogenesis|cell fate determination|sterol metabolic process|retinoic acid binding|retinoic acid 4-hydroxylase activity|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen|establishment of T cell polarity|vitamin metabolic process|retinoic acid catabolic process|retinoic acid metabolic process|tongue morphogenesis|regulation of T cell differentiation|retinoic acid receptor signaling pathway|regulation of retinoic acid receptor signaling pathway|negative regulation of retinoic acid receptor signaling pathway|positive regulation of tongue muscle cell differentiation"
"ENSG00000003147","7",8113184,8262687,149504,149504,"protein_coding","membrane|integral component of membrane|cell junction|synapse|protein binding|cytoplasm|cytosol|transport|regulation of insulin secretion|synaptic vesicle membrane|Golgi apparatus|intracellular membrane-bounded organelle|Golgi membrane|molecular_function|cytoplasmic vesicle|transport vesicle membrane|neurotransmitter transport|protein domain specific binding|secretory granule membrane"
"ENSG00000003249","16",90004865,90020128,15264,15264,"protein_coding","cytoplasm"
"ENSG00000003393","2",201700554,201781189,80636,80636,"protein_coding","postsynaptic density|membrane|dendrite|neuronal cell body|protein binding|cytoplasm|centrosome|cytosol|ruffle|positive regulation of GTPase activity|guanyl-nucleotide exchange factor activity|response to oxidative stress|intracellular membrane-bounded organelle|protein homodimerization activity|growth cone|positive regulation of protein kinase activity|Rho guanyl-nucleotide exchange factor activity|Rac guanyl-nucleotide exchange factor activity|regulation of Rho protein signal transduction|Rab GTPase binding|regulation of GTPase activity|vesicle organization|neuromuscular junction development|protein complex|early endosome|endosomal transport|axon|in utero embryonic development|neuron projection|dendritic spine|lamellipodium|vesicle|cell death|axonogenesis|membrane organization|locomotory behavior|behavioral fear response|protein localization|receptor recycling|protein serine/threonine kinase activator activity|positive regulation of protein serine/threonine kinase activity|endosome organization|Rac protein signal transduction|neuron projection morphogenesis|Ran guanyl-nucleotide exchange factor activity|Rab guanyl-nucleotide exchange factor activity|positive regulation of Rac protein signal transduction|synaptic transmission, glutamatergic|regulation of endosome size"
"ENSG00000003400","2",201182881,201229406,46526,46526,"protein_coding","protein binding|cytosol|hydrolase activity|apoptotic process|positive regulation of I-kappaB kinase/NF-kappaB signaling|peptidase activity|proteolysis|ubiquitin protein ligase binding|regulation of apoptotic process|apoptotic signaling pathway|cell surface receptor signaling pathway|cysteine-type peptidase activity|cysteine-type endopeptidase activity|death effector domain binding|cysteine-type endopeptidase activity involved in apoptotic signaling pathway|cysteine-type endopeptidase activity involved in execution phase of apoptosis|execution phase of apoptosis|CD95 death-inducing signaling complex|ripoptosome"
"ENSG00000003402","2",201116104,201176687,60584,60584,"protein_coding","protein binding|cytoplasm|cytosol|positive regulation of ERK1 and ERK2 cascade|cellular response to epidermal growth factor stimulus|viral process|apoptotic process|cellular response to hypoxia|positive regulation of I-kappaB kinase/NF-kappaB signaling|positive regulation of NF-kappaB transcription factor activity|proteolysis|negative regulation of apoptotic process|regulation of apoptotic process|negative regulation of extrinsic apoptotic signaling pathway via death domain receptors|response to testosterone|response to hypoxia|membrane raft|positive regulation of neuron projection development|negative regulation of extrinsic apoptotic signaling pathway|cellular response to insulin stimulus|cysteine-type peptidase activity|protein complex binding|cysteine-type endopeptidase activity|positive regulation of catalytic activity|protease binding|enzyme activator activity|cysteine-type endopeptidase activity involved in execution phase of apoptosis|regulation of necroptotic process|execution phase of apoptosis|regulation of extrinsic apoptotic signaling pathway via death domain receptors|death-inducing signaling complex|CD95 death-inducing signaling complex|ripoptosome|death receptor binding|skeletal muscle tissue development|skeletal muscle tissue regeneration|cellular response to dexamethasone stimulus|cellular response to nitric oxide|negative regulation of cardiac muscle cell apoptotic process|positive regulation of hepatocyte proliferation|negative regulation of epithelial cell apoptotic process|negative regulation of hepatocyte apoptotic process|negative regulation of cellular response to transforming growth factor beta stimulus|negative regulation of reactive oxygen species biosynthetic process|positive regulation of extracellular matrix organization|positive regulation of glomerular mesangial cell proliferation|cellular response to estradiol stimulus|skeletal muscle atrophy|regulation of skeletal muscle satellite cell proliferation|skeletal myofibril assembly|negative regulation of myoblast fusion"
"ENSG00000003436","2",187464230,187565760,101531,101531,"protein_coding","plasma membrane|membrane|response to lipopolysaccharide|cell surface|intracellular membrane-bounded organelle|endoplasmic reticulum|extracellular region|anchored component of membrane|extracellular space|cellular response to lipopolysaccharide|response to estradiol|blood coagulation|organelle membrane|cellular response to interleukin-1|peptidase inhibitor activity|negative regulation of peptidase activity|negative regulation of endopeptidase activity|serine-type endopeptidase inhibitor activity|hemostasis|endopeptidase inhibitor activity|blood coagulation, extrinsic pathway"
"ENSG00000003509","2",37231631,37253403,21773,17495,"protein_coding","protein binding|methyltransferase activity|transferase activity|methylation|enzyme binding|mitochondrion|mitochondrial matrix|extracellular space|ATP metabolic process|mitochondrial respiratory chain complex I assembly|protein-arginine omega-N symmetric methyltransferase activity|peptidyl-arginine methylation, to symmetrical-dimethyl arginine"
"ENSG00000003756","3",50088908,50119021,30114,30114,"protein_coding","protein binding|nucleus|metal ion binding|nucleotide binding|RNA binding|RNA processing|nucleic acid binding|mRNA splicing, via spliceosome|mRNA processing|nucleoplasm|zinc ion binding|apoptotic process|negative regulation of cell proliferation|DNA binding|mRNA binding|regulation of apoptotic process|positive regulation of apoptotic process|regulation of alternative mRNA splicing, via spliceosome|RNA splicing|spliceosomal complex|spliceosomal complex assembly"
"ENSG00000003987","8",17298030,17413528,115499,115298,"protein_coding","membrane|protein binding|cytoplasm|cytosol|hydrolase activity|dephosphorylation|protein tyrosine phosphatase activity|phosphatase activity|protein dephosphorylation|peptidyl-tyrosine dephosphorylation|phosphatidylinositol biosynthetic process|phosphatidylinositol-3-phosphatase activity|phosphatidylinositol-3,5-bisphosphate 3-phosphatase activity|phosphatidylinositol dephosphorylation|phosphatidylinositol phosphate phosphatase activity|inositol phosphate dephosphorylation"
"ENSG00000003989","8",17497088,17570573,73486,73486,"protein_coding","plasma membrane|membrane|integral component of membrane|cell junction|transport|integral component of plasma membrane|amino acid transmembrane transporter activity|amino acid transmembrane transport|amino acid transport|cellular amino acid metabolic process|regulation of inflammatory response|macrophage activation|nitric oxide biosynthetic process|basic amino acid transmembrane transporter activity|basic amino acid transmembrane transport|L-ornithine transmembrane transporter activity|high-affinity arginine transmembrane transporter activity|high-affinity lysine transmembrane transporter activity|arginine transmembrane transporter activity|L-lysine transmembrane transporter activity|L-arginine transmembrane transporter activity|low-affinity L-arginine transmembrane transporter activity|high-affinity L-ornithine transmembrane transporter activity|nitric oxide production involved in inflammatory response|arginine transport|regulation of macrophage activation|L-arginine import across plasma membrane|L-lysine import across plasma membrane|L-ornithine import across plasma membrane|L-arginine transport|L-ornithine transmembrane transport"
"ENSG00000004059","7",127588345,127591705,3361,3361,"protein_coding","plasma membrane|membrane|protein binding|cytoplasm|nucleotide binding|transport|extracellular exosome|Golgi apparatus|perinuclear region of cytoplasm|intracellular|protein transport|retrograde vesicle-mediated transport, Golgi to ER|small GTPase mediated signal transduction|GTPase activity|GTP binding|vesicle-mediated transport"
"ENSG00000004139","17",28364356,28404049,39694,32388,"protein_coding","nervous system development|cell junction|dendrite|synapse|protein binding|cytoplasm|cytosol|signal transduction|cell projection|mitochondrion|immune system process|innate immune response|cell differentiation|microtubule|regulation of apoptotic process|response to glucose|axon|microtubule cytoskeleton|regulation of dendrite morphogenesis|negative regulation of MyD88-independent toll-like receptor signaling pathway|regulation of neuron death|extrinsic component of mitochondrial outer membrane"
"ENSG00000004142","17",28347177,28357522,10346,10346,"protein_coding","protein binding|nucleus|mitochondrion|DNA binding|positive regulation of mitotic cell cycle|mitochondrial nucleoid|negative regulation of macroautophagy|mitochondrion morphogenesis"
"ENSG00000004399","3",129555175,129606818,51644,51644,"protein_coding","plasma membrane|membrane|integral component of membrane|protein binding|signal transduction|integral component of plasma membrane|multicellular organism development|regulation of GTPase activity|synapse assembly|angiogenesis|lamellipodium|regulation of angiogenesis|aorta development|coronary vasculature development|positive regulation of protein binding|cardiac septum development|protein domain specific binding|semaphorin receptor activity|regulation of cell migration|semaphorin-plexin signaling pathway|outflow tract morphogenesis|dichotomous subdivision of terminal units involved in salivary gland branching|regulation of cell shape|positive regulation of axonogenesis|negative regulation of cell adhesion|endothelial cell migration|branching involved in blood vessel morphogenesis"
"ENSG00000004455","1",33007940,33080996,73057,29053,"protein_coding","nucleotide binding|ATP binding|transferase activity|kinase activity|phosphorylation|nucleotide phosphorylation|mitochondrion|extracellular exosome|mitochondrial inner membrane|nucleobase-containing small molecule interconversion|ATP metabolic process|adenylate kinase activity|sperm flagellum|nucleobase-containing compound metabolic process|mitochondrial intermembrane space|phosphotransferase activity, phosphate group as acceptor|nucleobase-containing compound kinase activity|ADP biosynthetic process|AMP metabolic process|sperm mitochondrial sheath"
"ENSG00000004468","4",15778275,15853230,74956,74953,"protein_coding","plasma membrane|membrane|integral component of membrane|nucleus|signal transduction|response to drug|transferase activity|hydrolase activity|extracellular exosome|cell surface|intracellular membrane-bounded organelle|negative regulation of transcription, DNA-templated|positive regulation of transcription, DNA-templated|negative regulation of apoptotic process|hydrolase activity, acting on glycosyl bonds|apoptotic signaling pathway|response to progesterone|response to estradiol|positive regulation of insulin secretion|response to hormone|response to hypoxia|response to retinoic acid|positive regulation of cell growth|positive regulation of cytosolic calcium ion concentration|NAD metabolic process|long term synaptic depression|B cell receptor signaling pathway|female pregnancy|response to interleukin-1|positive regulation of vasoconstriction|response to cytokine|positive regulation of B cell proliferation|phosphorus-oxygen lyase activity|NAD+ nucleosidase activity|NAD(P)+ nucleosidase activity|NAD+ nucleotidase, cyclic ADP-ribose generating|response to hydroperoxide|negative regulation of bone resorption"
"ENSG00000004478","12",2794953,2805423,10471,10471,"protein_coding","neuronal cell body|protein binding|nucleus|cytoplasm|cytosol|cytoskeleton|ATP binding|RNA binding|nucleoplasm|cell projection|mitochondrion|extracellular exosome|microtubule|perinuclear region of cytoplasm|androgen receptor signaling pathway|protein complex|heat shock protein binding|regulation of cellular response to heat|axon|neuron projection|GTP binding|embryo implantation|negative regulation of neuron projection development|isomerase activity|prostate gland development|peptidyl-prolyl cis-trans isomerase activity|protein peptidyl-prolyl isomerization|protein folding|FK506 binding|protein binding, bridging|copper-dependent protein binding|glucocorticoid receptor binding|tau protein binding|phosphoprotein binding|steroid hormone receptor complex assembly|copper ion transport|negative regulation of microtubule polymerization or depolymerization|negative regulation of microtubule polymerization|protein complex localization|male sex differentiation|reproductive structure development|chaperone-mediated protein folding|axonal growth cone"
